bank,ifsc,branch,centre,district,state,address,contact,imps,rtgs,city,neft,micr
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065065,JOGESHWARI (E),MUMBAI,MUMBAI,MAHARASHTRA,"BAL VIKAS SCHOOL BUILDING, GROUND FLOOR, MHADA COLONY, SARVODAYA NAGAR, JOGESHWARI (E), MUMBAI 400 060",28320628,true,true,GREATER BOMBAY,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065066,KALYAN (E),KALYAN,KALYAN,MAHARASHTRA,"KHUSHI HEIGHTS, POONA LINK ROAD, OPP. NITIN RAJ HOTEL, KATEMANIVALI, KALYAN (E), DIST. THANE - 421 306.",2362365,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065067,DIVA (E),THANE,THANE,MAHARASHTRA,"SHREE KRISHNA PARK, NEAR SHIV SENA SHAKA, DIVA (E), DIST. THANE - 400 612.",25318101,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065068,ANJUR PHATA,BHIWANDI,BHIWANDI,MAHARASHTRA,"SOM SHIV PLAZA, ANJUR PHATA, KAMATGHAR, AGRA ROAD, BHIWANDI - 421 302.",278055,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065069,MARVE LINK ROAD,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. S-109, RAJIV GANDHI COMMERCIAL COMPLEX, EKTA NAGAR, CHARKOP MARVE LINK ROAD, KANDIVLI (W), MUMBAI - 400 067",28680471,true,true,GREATER BOMBAY,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065070,LOWER PAREL,MUMBAI,MUMBAI,MUMBAI,"BLOCK NO.12, GROUND FLOOR, DHANRAJ MILL COMPOUND, SITARAM JADHAV MARG, LOWER PAREL, MUMBAI - 400 013.",28680471,true,true,GREATER BOMBAY,true,400065070
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065071,LALBAUG,MUMBAI,MUMBAI,MUMBAI,"SHOP NO. 6, 7, 8 & 9, GROUND FLOOR, ""TAMBAWALA BUILDING NO.1"", 205, KALACHOWKY ROAD, D. L. MARG, LALBAUG, MUMBAI - 400 012",23742274,true,true,GREATER BOMBAY,true,400065071
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065072,VIKHROLI (EAST),MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 3, B WING, BUILDING NO. 87, ""KANNAMWAR NAGAR RAIGAD CO-OP. HSG. SOC. LTD., KANNAMWAR NAGAR, VIKHROLI (E), MUMBAI - 400 083",25791070,true,true,GREATER BOMBAY,true,400065072
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065073,VIKHROLI W,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO.1, MAYFIAR SYMPHONY SPRING, PARKSITE, GODREJ, HIRANANDANI LINK RD., VIKHROLI WEST, MUMBAI 400079",25174388,true,true,GREATER BOMBAY,true,400065073
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065074,KAUSA MUMBRA,THANE,THANE,MAHARASHTRA,"VIRANI BUSINESS CENTRE, SHOP NO. 1,2,3,4, PLOT NO. 96 BY 2, OPP BHARAT GEARS CO., KAUSA, DIST-THANE- 400612",25495095,true,true,THANE,true,400065074
